result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,37,32,SILVER_I,12,15,13898,7,6,PLATINUM_III,25,15,13437,47,41,PLATINUM_III,17,13,11379,7,6,PLATINUM_III,25,14,11461,47,41,PLATINUM_III,17,11,7764,19,25,PLATINUM_IV,33,15,13964,19,25,PLATINUM_IV,33,12,9076,144,145,GOLD_II,14,14,12669,223,235,BRONZE_II,19,12,8940,223,235,BRONZE_II,19,11,7386
0,128,138,PLATINUM_III,81,10,6700,44,38,PLATINUM_III,29,11,8288,47,41,PLATINUM_III,17,10,6796,45,35,PLATINUM_III,75,10,6796,34,22,PLATINUM_II,35,10,6311,374,338,PLATINUM_I,7,13,10022,116,118,PLATINUM_II,12,12,9251,152,147,PLATINUM_I,16,12,9894,242,251,PLATINUM_I,100,12,8969,132,154,PLATINUM_I,0,10,7144
1,37,32,SILVER_I,12,18,20139,47,41,PLATINUM_III,17,18,19006,47,41,PLATINUM_III,17,18,23230,15,5,GOLD_III,22,17,17496,15,5,GOLD_III,22,15,14362,103,107,PLATINUM_IV,0,16,16445,6,11,SILVER_II,67,17,16795,6,11,SILVER_II,67,18,18855,11,12,GOLD_II,58,17,17500,68,73,SILVER_IV,3,15,13825
0,7,6,PLATINUM_III,25,9,5405,20,12,PLATINUM_IV,1,10,6868,47,41,PLATINUM_III,17,9,5752,5,11,GOLD_I,69,10,6169,6,14,GOLD_II,75,7,4012,43,25,PLATINUM_II,75,11,7563,43,25,PLATINUM_II,75,11,7709,29,22,PLATINUM_III,65,10,6338,8,4,PLATINUM_II,0,10,6155,20,7,GOLD_IV,23,8,4757
1,88,71,DIAMOND_IV,1,17,18156,512,507,DIAMOND_III,41,16,15907,47,41,PLATINUM_III,17,18,19234,130,166,DIAMOND_IV,70,17,17072,34,22,PLATINUM_II,35,16,14852,76,86,DIAMOND_IV,17,16,15508,58,59,PLATINUM_I,0,15,14698,152,161,PLATINUM_III,90,16,15580,46,43,PLATINUM_II,61,17,16944,262,266,DIAMOND_IV,16,14,12408
0,37,32,SILVER_I,12,14,12365,44,38,PLATINUM_IV,1,14,11984,47,41,PLATINUM_III,17,13,10567,5,10,GOLD_I,56,14,12234,29,34,GOLD_I,4,15,13922,243,242,GOLD_IV,49,15,13822,42,32,GOLD_III,52,16,15154,81,47,DIAMOND_IV,30,14,12304,12,12,GOLD_IV,52,15,14044,7,10,SILVER_I,0,16,14871
1,226,213,DIAMOND_IV,45,15,13986,137,163,DIAMOND_IV,22,14,12743,292,300,DIAMOND_III,54,14,12125,135,137,DIAMOND_IV,61,14,11593,59,41,DIAMOND_IV,42,12,9574,14,11,PLATINUM_I,100,17,16940,43,25,PLATINUM_III,54,14,12581,390,379,DIAMOND_III,22,14,12391,40,38,PLATINUM_I,65,14,12696,17,18,PLATINUM_II,78,12,9565
0,28,19,DIAMOND_IV,47,16,14704,8,6,PLATINUM_I,0,18,19451,24,15,PLATINUM_III,66,15,14436,35,32,DIAMOND_IV,77,16,15514,35,32,DIAMOND_IV,77,12,9746,14,11,PLATINUM_I,100,13,10636,43,25,PLATINUM_III,54,14,11817,56,58,PLATINUM_I,77,15,13709,59,41,DIAMOND_IV,42,14,13005,60,33,DIAMOND_IV,64,12,9435
1,374,376,DIAMOND_III,0,10,7130,515,533,DIAMOND_II,20,10,6488,263,273,DIAMOND_III,58,11,8459,59,41,DIAMOND_IV,42,9,5463,143,120,DIAMOND_II,27,7,3651,14,11,PLATINUM_I,100,11,8235,43,25,PLATINUM_III,54,10,7077,353,327,DIAMOND_III,56,11,7538,102,105,DIAMOND_III,0,9,5238,61,64,DIAMOND_III,36,8,4837
1,312,283,PLATINUM_I,8,10,7123,104,92,PLATINUM_III,79,10,6790,111,106,PLATINUM_IV,90,10,6739,130,103,PLATINUM_III,75,8,4772,799,771,PLATINUM_II,10,8,4732,384,370,PLATINUM_II,24,13,11100,43,25,PLATINUM_III,54,12,8986,48,36,PLATINUM_IV,79,13,10748,87,73,PLATINUM_III,28,12,8927,162,170,PLATINUM_I,5,10,6238
