result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
1,82,88,BRONZE_II,0,11,8027,118,145,BRONZE_IV,17,11,7954,40,56,BRONZE_IV,74,12,9547,79,105,BRONZE_IV,32,11,8045,101,104,BRONZE_III,18,13,10160,107,108,BRONZE_III,17,14,12054,435,447,SILVER_IV,0,14,12487,131,92,BRONZE_II,52,14,12750,163,130,BRONZE_III,11,13,11120,41,37,BRONZE_III,33,12,9370
0,101,104,BRONZE_III,18,15,14111,87,74,SILVER_IV,94,15,13205,108,155,IRON_II,45,15,13645,12,21,BRONZE_III,76,11,8326,12,21,BRONZE_III,76,11,8428,90,118,BRONZE_II,15,13,10687,5,16,BRONZE_III,85,11,7858,11,30,BRONZE_IV,0,12,9826,8,9,BRONZE_III,81,11,7938,12,19,BRONZE_IV,82,11,7578
0,235,225,SILVER_IV,89,18,20536,248,250,SILVER_IV,0,16,15127,115,120,BRONZE_I,11,15,14419,38,41,BRONZE_II,58,13,11315,34,39,SILVER_IV,75,15,13181,417,421,BRONZE_I,29,14,12196,128,123,SILVER_IV,68,11,8437,23,32,BRONZE_II,27,15,13336,8,9,BRONZE_III,81,15,14200,12,19,BRONZE_IV,82,13,11000
1,186,193,BRONZE_II,74,18,24428,15,19,BRONZE_III,27,17,16505,210,225,SILVER_IV,79,18,22602,21,8,SILVER_IV,6,18,21038,21,22,BRONZE_III,54,17,17276,263,287,BRONZE_III,57,18,20580,263,287,BRONZE_III,57,18,24217,263,287,BRONZE_III,57,18,21221,8,9,BRONZE_III,81,18,21104,12,19,BRONZE_IV,82,17,16862
0,98,98,BRONZE_II,96,18,29691,154,131,SILVER_IV,66,18,28527,50,50,SILVER_IV,31,18,23866,85,90,BRONZE_I,37,18,24038,366,328,SILVER_IV,69,18,24258,192,222,BRONZE_III,61,18,21611,140,153,SILVER_IV,8,18,23117,84,100,BRONZE_II,62,18,19045,8,9,BRONZE_III,81,18,24972,12,19,BRONZE_IV,82,18,20359
1,83,94,BRONZE_III,69,11,8496,124,155,BRONZE_IV,0,7,3815,5,16,BRONZE_II,80,10,6832,15,27,BRONZE_III,66,8,4476,7,17,BRONZE_IV,87,7,3645,5,13,BRONZE_III,38,11,8084,130,129,SILVER_IV,0,9,5791,53,45,SILVER_IV,0,11,8165,8,9,BRONZE_III,81,8,4750,12,19,BRONZE_IV,82,8,4509
0,82,94,BRONZE_II,60,14,12514,30,27,SILVER_IV,20,15,13995,76,86,BRONZE_III,16,16,14729,23,43,IRON_I,57,13,10855,40,65,BRONZE_II,0,12,9625,108,127,BRONZE_II,70,14,11495,24,45,BRONZE_II,43,12,9718,54,51,SILVER_IV,59,15,13854,8,9,BRONZE_III,81,12,8886,12,19,BRONZE_IV,82,11,8279
0,31,24,SILVER_II,31,16,15658,79,107,BRONZE_II,17,13,10532,41,47,SILVER_IV,12,15,13859,21,17,BRONZE_I,65,15,13243,10,19,BRONZE_III,56,13,10140,42,35,BRONZE_I,17,14,12115,45,64,BRONZE_IV,0,12,8622,14,11,SILVER_IV,26,13,11223,8,9,BRONZE_III,81,12,9826,12,19,BRONZE_IV,82,12,9681
0,29,23,BRONZE_III,56,15,13880,245,249,BRONZE_II,68,14,11670,300,278,BRONZE_I,93,15,13905,27,23,BRONZE_II,71,13,10874,133,112,BRONZE_II,62,12,9395,57,67,BRONZE_III,44,13,9984,206,223,BRONZE_II,94,12,9084,196,194,BRONZE_II,60,12,9783,307,311,BRONZE_III,90,13,10913,294,299,BRONZE_II,52,11,7872
0,78,60,SILVER_IV,21,15,14308,138,125,SILVER_III,0,14,11984,234,254,BRONZE_III,82,15,13596,82,78,BRONZE_II,8,13,10205,157,150,SILVER_IV,69,12,9536,57,67,BRONZE_III,44,14,11952,399,389,SILVER_IV,78,12,9551,231,234,SILVER_III,74,14,12065,126,128,BRONZE_II,19,11,7493,334,365,BRONZE_III,66,14,11455
0,3,7,BRONZE_IV,48,17,17188,52,60,BRONZE_I,9,16,16104,115,99,SILVER_I,14,14,12854,23,29,BRONZE_II,67,14,12913,20,15,BRONZE_I,19,13,10297,57,67,BRONZE_III,44,16,15727,71,98,IRON_III,76,13,10208,20,22,BRONZE_II,69,17,16567,262,245,SILVER_IV,75,16,15414,212,221,BRONZE_III,75,15,13316
