result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,43,50,SILVER_I,7,18,21883,250,225,GOLD_III,36,18,18945,90,109,SILVER_II,0,18,19085,128,95,PLATINUM_I,1,18,21488,160,145,PLATINUM_IV,1,18,18387,54,52,SILVER_I,51,18,24846,130,117,PLATINUM_III,47,18,24810,520,509,SILVER_II,14,18,21966,27,26,SILVER_II,60,17,17874,281,283,GOLD_IV,38,16,15610
1,24,26,SILVER_IV,48,10,6880,16,20,BRONZE_I,90,9,5195,84,95,BRONZE_III,27,11,7773,29,45,BRONZE_I,47,9,5793,19,27,BRONZE_II,29,8,4683,54,52,SILVER_I,51,11,7606,31,47,SILVER_IV,13,11,8468,32,40,SILVER_II,18,11,7333,7,13,BRONZE_I,10,9,5040,94,87,SILVER_I,31,9,5771
1,59,74,BRONZE_IV,91,18,20001,210,209,GOLD_III,17,18,20269,75,70,PLATINUM_IV,28,18,19969,29,35,PLATINUM_II,39,17,17540,29,35,PLATINUM_II,39,17,17296,54,52,SILVER_I,51,18,19435,76,87,GOLD_II,46,18,23361,59,52,BRONZE_III,38,17,16613,16,24,BRONZE_I,30,16,14921,59,55,GOLD_III,0,17,17034
1,245,225,SILVER_IV,76,15,14282,109,116,BRONZE_IV,0,13,10473,166,139,SILVER_II,49,14,11588,133,158,BRONZE_III,34,12,9132,290,272,GOLD_IV,0,11,7727,54,52,SILVER_I,51,16,15294,29,35,PLATINUM_II,39,11,8466,93,109,BRONZE_III,30,15,13645,14,13,SILVER_IV,61,15,13076,38,45,GOLD_IV,22,15,13028
1,97,115,SILVER_I,75,11,8398,46,53,GOLD_III,79,11,7965,53,39,PLATINUM_III,2,13,11335,42,46,GOLD_IV,75,12,8604,9,13,SILVER_I,54,10,6590,17,9,GOLD_I,33,14,12349,25,19,GOLD_IV,24,14,11516,25,19,GOLD_IV,24,14,12794,25,19,GOLD_IV,24,13,10684,15,13,SILVER_I,54,11,8216
0,83,67,GOLD_III,62,15,13751,32,56,SILVER_III,75,15,14275,205,205,GOLD_IV,46,16,15167,29,32,SILVER_I,39,13,10841,98,117,GOLD_IV,25,13,11146,83,77,SILVER_III,32,13,11244,27,23,GOLD_IV,20,12,9698,112,124,SILVER_I,17,13,11173,46,43,SILVER_III,0,12,8788,15,13,SILVER_I,54,13,10167
1,16,11,SILVER_I,39,15,14032,38,53,SILVER_II,82,15,13857,9,9,BRONZE_II,93,15,14047,32,34,SILVER_II,55,14,11884,38,47,SILVER_III,47,13,11270,74,79,SILVER_II,31,15,14635,31,37,SILVER_II,3,16,15346,26,21,GOLD_IV,17,17,16938,46,43,SILVER_III,0,14,12232,15,13,SILVER_I,54,16,14733
0,841,806,GOLD_III,45,18,25052,203,207,GOLD_IV,71,18,18399,177,168,SILVER_II,60,18,18888,204,210,GOLD_IV,0,17,16715,51,37,SILVER_II,17,17,16487,153,167,SILVER_II,0,18,24333,36,34,SILVER_I,29,17,17340,58,71,SILVER_III,45,16,15089,46,43,SILVER_III,0,15,13915,15,13,SILVER_I,54,18,19070
0,64,51,PLATINUM_IV,67,18,19437,107,88,PLATINUM_IV,0,18,18979,81,63,PLATINUM_III,34,18,20527,354,366,GOLD_II,13,16,15660,54,46,GOLD_I,0,14,12707,319,302,PLATINUM_III,0,17,16984,85,82,GOLD_III,0,16,15413,49,47,GOLD_I,15,17,16879,83,86,GOLD_II,77,13,11145,15,13,SILVER_I,54,16,15540
0,34,37,SILVER_I,82,14,12317,33,36,GOLD_IV,74,15,13346,28,22,GOLD_III,26,15,13547,15,13,SILVER_I,57,14,11785,83,97,GOLD_IV,87,12,9339,44,47,GOLD_IV,0,14,12135,93,98,SILVER_II,43,12,9813,15,8,GOLD_IV,86,13,11385,36,49,GOLD_IV,0,11,7961,15,13,SILVER_I,54,14,11830
