result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,196,187,DIAMOND_IV,55,15,14677,184,163,PLATINUM_I,100,16,16004,257,243,DIAMOND_IV,18,14,12162,194,172,DIAMOND_III,54,13,10293,516,480,PLATINUM_I,100,11,7860,60,53,PLATINUM_I,27,13,10651,156,170,DIAMOND_IV,0,8,4497,381,411,DIAMOND_III,0,13,10807,173,166,PLATINUM_I,64,14,11651,213,207,DIAMOND_III,3,11,8400
1,610,587,DIAMOND_III,31,14,11812,70,44,DIAMOND_IV,67,15,14097,164,158,DIAMOND_III,50,14,11876,194,172,DIAMOND_III,54,14,12139,321,298,DIAMOND_II,0,12,9058,98,106,DIAMOND_IV,40,14,12022,142,132,DIAMOND_III,19,13,10550,130,112,DIAMOND_III,19,13,11313,268,257,DIAMOND_II,42,12,9330,75,83,DIAMOND_II,1,11,7510
1,32,33,DIAMOND_IV,1,17,17068,258,238,DIAMOND_IV,49,16,15391,45,20,PLATINUM_I,100,16,15795,194,172,DIAMOND_III,54,15,14496,126,95,DIAMOND_IV,20,17,18220,78,60,DIAMOND_IV,60,14,12474,48,25,PLATINUM_I,100,16,16441,183,170,DIAMOND_IV,0,15,13738,15,11,PLATINUM_I,100,15,13734,103,92,PLATINUM_I,16,13,10469
0,545,528,DIAMOND_II,22,15,13702,257,243,DIAMOND_IV,18,15,13338,24,22,PLATINUM_I,50,14,12667,194,172,DIAMOND_III,54,15,13399,36,36,DIAMOND_IV,0,13,10019,221,224,DIAMOND_III,61,17,16525,138,127,DIAMOND_II,15,16,15489,323,288,DIAMOND_IV,82,15,14050,351,317,DIAMOND_II,59,14,12357,84,76,DIAMOND_IV,0,14,12537
0,834,811,PLATINUM_IV,53,12,9387,82,78,PLATINUM_I,15,11,8289,199,166,MASTER_I,17,13,10678,194,172,DIAMOND_III,54,11,8267,35,32,DIAMOND_III,47,10,6689,146,135,GRANDMASTER_I,551,14,12350,139,166,PLATINUM_III,34,15,13194,229,219,MASTER_I,154,14,11578,269,230,DIAMOND_II,90,13,10289,94,98,PLATINUM_II,15,13,10830
1,157,134,DIAMOND_II,15,17,18202,157,134,DIAMOND_II,15,16,14969,100,114,PLATINUM_IV,12,13,11264,194,172,DIAMOND_III,54,15,13568,224,219,PLATINUM_III,75,13,10038,72,60,DIAMOND_II,68,14,12992,6,5,SILVER_III,54,12,9320,57,62,GOLD_II,17,14,12246,17,23,GOLD_III,1,12,9510,35,41,PLATINUM_IV,88,11,8194
0,127,101,DIAMOND_II,14,18,21795,93,79,DIAMOND_IV,1,18,22763,87,77,PLATINUM_I,71,18,23592,194,172,DIAMOND_III,54,16,16435,35,46,PLATINUM_I,15,17,16547,249,223,DIAMOND_IV,65,18,27738,114,96,PLATINUM_I,79,18,24635,146,149,DIAMOND_IV,0,18,26902,25,17,DIAMOND_IV,49,18,26650,208,198,DIAMOND_III,13,18,20602
1,205,196,DIAMOND_III,16,13,11251,16,10,PLATINUM_II,71,12,9252,292,257,PLATINUM_I,49,13,10526,25,23,PLATINUM_II,7,10,7288,115,115,PLATINUM_I,8,10,6500,205,185,PLATINUM_I,0,11,8578,232,221,DIAMOND_III,0,10,6761,66,48,PLATINUM_II,37,12,9141,49,51,PLATINUM_II,45,10,6202,58,60,DIAMOND_IV,0,9,5544
0,205,196,DIAMOND_III,16,12,9336,370,365,DIAMOND_IV,45,12,8737,87,93,DIAMOND_IV,16,12,9698,180,164,PLATINUM_II,46,11,8205,505,477,PLATINUM_I,67,10,6788,210,188,DIAMOND_III,43,15,13058,285,295,DIAMOND_IV,44,13,10675,437,401,DIAMOND_IV,68,14,11829,186,162,DIAMOND_IV,23,13,10529,215,214,DIAMOND_IV,80,11,8503
1,205,196,DIAMOND_III,16,13,11149,522,486,DIAMOND_IV,24,11,7820,241,227,DIAMOND_IV,40,13,10220,88,81,PLATINUM_I,52,11,7765,295,301,DIAMOND_IV,71,9,5820,310,289,DIAMOND_IV,65,11,8123,104,107,DIAMOND_IV,0,10,6462,148,141,DIAMOND_III,15,11,8342,130,139,DIAMOND_IV,0,9,5803,355,375,DIAMOND_IV,0,9,5209
0,205,196,DIAMOND_III,16,16,15996,169,159,PLATINUM_I,68,15,13062,70,68,DIAMOND_IV,31,14,12369,171,146,DIAMOND_II,57,14,11833,151,137,DIAMOND_IV,61,14,12635,333,328,DIAMOND_III,3,17,16846,318,290,DIAMOND_III,42,17,17106,396,389,DIAMOND_IV,80,16,16223,63,55,PLATINUM_I,15,15,14233,184,152,DIAMOND_III,20,13,10349
1,205,196,DIAMOND_III,16,16,16460,211,198,DIAMOND_III,13,17,17850,359,320,DIAMOND_IV,1,17,16918,185,181,DIAMOND_IV,74,16,14781,450,442,DIAMOND_III,28,15,14391,945,960,DIAMOND_IV,44,16,16055,33,29,PLATINUM_I,100,17,18215,95,81,PLATINUM_I,58,18,20233,226,195,PLATINUM_II,55,17,16799,156,149,DIAMOND_III,61,15,13356
0,205,196,DIAMOND_III,16,10,6838,76,81,PLATINUM_I,59,10,7267,651,625,DIAMOND_IV,76,10,7240,898,865,DIAMOND_III,34,9,5852,207,219,DIAMOND_III,75,9,5146,231,184,DIAMOND_I,6,12,8698,144,139,DIAMOND_III,59,10,7016,144,130,DIAMOND_III,75,11,8003,614,623,DIAMOND_III,26,10,7287,343,307,DIAMOND_II,24,9,5450
