result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,180,158,DIAMOND_II,15,13,10848,35,25,PLATINUM_IV,95,13,11207,53,38,PLATINUM_IV,32,13,10911,48,25,DIAMOND_II,9,12,9156,118,115,GOLD_III,33,14,11871,117,102,GOLD_IV,32,10,7210,43,45,PLATINUM_IV,59,13,10453,325,306,PLATINUM_II,58,10,7274,42,35,GOLD_III,53,13,10155,177,167,PLATINUM_IV,36,12,9476
0,180,158,DIAMOND_II,15,13,11250,35,25,PLATINUM_IV,95,14,11612,53,38,PLATINUM_IV,32,12,9529,48,25,DIAMOND_II,9,12,9610,118,115,GOLD_III,33,14,12650,84,92,PLATINUM_IV,17,13,11435,16,15,GOLD_I,74,15,14198,58,58,PLATINUM_III,62,15,13318,72,71,GOLD_IV,1,12,9615,378,379,PLATINUM_II,62,14,12945
1,180,158,DIAMOND_II,15,16,15433,35,25,PLATINUM_IV,95,14,12939,53,38,PLATINUM_IV,32,15,14254,48,25,DIAMOND_II,9,14,12998,118,115,GOLD_III,33,15,13652,180,190,PLATINUM_IV,0,16,16289,162,161,GOLD_IV,0,16,15161,31,23,GOLD_IV,53,13,11145,50,50,PLATINUM_IV,52,15,14136,31,45,GOLD_II,20,13,10222
1,169,168,PLATINUM_IV,60,16,16043,31,35,GOLD_I,56,17,16888,53,38,PLATINUM_IV,32,14,12853,444,423,PLATINUM_IV,31,15,13466,157,142,PLATINUM_IV,0,16,16092,299,277,PLATINUM_III,57,15,13754,132,113,GOLD_II,0,13,11215,84,74,PLATINUM_I,93,15,13525,35,32,GOLD_I,0,13,10335,95,80,GOLD_I,46,11,8334
0,474,467,PLATINUM_III,95,13,11411,783,775,DIAMOND_IV,17,13,10717,360,339,PLATINUM_III,61,15,14231,120,139,GOLD_I,1,13,10386,292,267,PLATINUM_III,75,11,8120,387,390,PLATINUM_III,0,11,7947,173,181,PLATINUM_IV,13,12,9665,312,312,PLATINUM_III,76,13,10014,150,126,DIAMOND_IV,17,12,8670,83,53,PLATINUM_IV,19,10,6714
0,227,228,PLATINUM_IV,64,13,10125,276,276,PLATINUM_III,0,12,8926,151,143,PLATINUM_IV,36,15,13903,474,467,PLATINUM_III,95,12,9594,67,58,PLATINUM_IV,67,11,7580,131,105,PLATINUM_I,14,13,11234,172,167,PLATINUM_IV,32,13,10043,254,242,PLATINUM_II,15,11,8522,482,496,GOLD_III,39,11,8254,83,53,PLATINUM_IV,19,10,6242
1,56,41,PLATINUM_IV,99,13,10473,195,211,PLATINUM_IV,46,14,11540,470,458,GOLD_II,45,14,12936,212,190,PLATINUM_III,65,15,13164,193,183,PLATINUM_III,90,13,11021,267,260,PLATINUM_II,30,15,13731,389,382,PLATINUM_IV,0,15,14267,202,203,PLATINUM_IV,0,16,14736,31,24,PLATINUM_III,33,14,12338,83,53,PLATINUM_IV,19,13,10534
0,161,146,PLATINUM_I,6,15,13311,166,156,DIAMOND_III,75,15,14045,111,86,PLATINUM_IV,13,13,11254,159,143,PLATINUM_II,53,14,11533,167,167,PLATINUM_IV,34,12,9483,90,93,PLATINUM_III,75,13,10538,288,254,DIAMOND_IV,0,14,12839,61,53,PLATINUM_IV,70,12,9853,159,135,PLATINUM_III,21,12,9657,83,53,PLATINUM_IV,19,12,9348
0,45,44,GOLD_II,75,12,8885,67,36,PLATINUM_I,46,11,8570,125,144,PLATINUM_IV,45,11,7843,95,100,PLATINUM_IV,0,9,5476,61,60,PLATINUM_III,40,8,4441,139,132,GOLD_II,75,9,6025,71,69,PLATINUM_IV,27,10,6147,318,298,GOLD_II,42,9,5634,25,29,GOLD_I,40,9,5073,83,53,PLATINUM_IV,19,9,5771
1,283,285,PLATINUM_IV,13,14,11961,93,89,PLATINUM_IV,25,14,11536,499,468,DIAMOND_IV,78,16,14981,169,155,PLATINUM_III,46,14,12181,438,431,PLATINUM_III,73,12,8618,85,80,PLATINUM_IV,46,16,14877,155,135,PLATINUM_III,55,16,15860,145,148,PLATINUM_I,62,15,13238,221,199,PLATINUM_I,35,14,12901,83,53,PLATINUM_IV,19,17,17075
