result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
1,64,76,PLATINUM_II,36,15,13172,282,241,PLATINUM_II,90,16,14880,528,560,PLATINUM_IV,59,17,16738,469,427,DIAMOND_IV,0,15,14539,302,316,PLATINUM_II,4,15,13654,329,318,PLATINUM_II,49,14,12228,157,171,PLATINUM_III,41,16,16473,315,301,DIAMOND_IV,55,14,12218,153,126,DIAMOND_IV,18,15,13320,218,181,PLATINUM_I,66,12,9872
0,64,76,PLATINUM_II,36,15,13639,334,308,PLATINUM_III,35,16,16074,454,438,PLATINUM_II,1,15,13819,65,41,PLATINUM_II,49,15,13394,114,89,PLATINUM_III,21,14,12722,39,23,PLATINUM_II,1,18,19013,203,170,PLATINUM_II,68,17,16630,306,324,PLATINUM_III,71,17,17945,393,400,PLATINUM_III,73,16,15645,138,120,PLATINUM_I,69,16,15806
0,64,76,PLATINUM_II,36,14,12925,77,66,PLATINUM_I,75,15,13806,357,357,PLATINUM_II,32,15,14179,93,90,PLATINUM_IV,62,13,10023,17,23,PLATINUM_II,81,12,9141,24,21,PLATINUM_IV,41,15,13804,130,94,PLATINUM_II,75,17,17701,354,356,DIAMOND_IV,33,17,16788,204,211,PLATINUM_II,75,15,13756,72,68,PLATINUM_I,17,16,15006
1,64,76,PLATINUM_II,36,15,14359,448,421,PLATINUM_I,67,15,14691,111,87,PLATINUM_II,75,14,12241,129,104,DIAMOND_IV,74,15,14169,295,291,PLATINUM_III,65,13,11147,436,430,DIAMOND_IV,54,15,14628,630,600,DIAMOND_III,0,14,12071,249,225,DIAMOND_III,41,14,11728,441,432,PLATINUM_II,16,14,12363,167,148,PLATINUM_II,61,12,9076
0,64,76,PLATINUM_II,36,3,904,134,149,GOLD_IV,26,1,0,504,528,PLATINUM_IV,39,3,985,140,170,PLATINUM_IV,54,2,500,291,310,PLATINUM_IV,42,2,531,118,95,PLATINUM_IV,89,3,965,135,155,PLATINUM_IV,50,3,833,80,102,SILVER_I,31,3,965,226,230,PLATINUM_IV,92,2,616,289,291,PLATINUM_IV,0,2,616
1,198,190,PLATINUM_II,21,12,8870,32,30,PLATINUM_III,15,10,6219,97,88,PLATINUM_III,51,12,8919,143,138,PLATINUM_II,59,9,5670,269,263,PLATINUM_III,14,8,4778,220,187,PLATINUM_II,16,9,5651,64,68,PLATINUM_II,22,9,6027,511,491,PLATINUM_II,12,9,5361,506,512,PLATINUM_III,74,8,4662,75,94,PLATINUM_III,26,8,4621
0,198,190,PLATINUM_II,21,3,722,54,46,PLATINUM_IV,92,3,815,235,214,PLATINUM_II,15,3,935,124,112,PLATINUM_II,21,1,0,158,134,PLATINUM_I,28,2,512,187,165,PLATINUM_II,75,2,541,135,117,PLATINUM_II,68,3,985,218,199,PLATINUM_II,26,3,904,206,192,PLATINUM_II,29,2,602,433,425,PLATINUM_II,66,2,602
0,198,190,PLATINUM_II,21,16,15723,19,17,PLATINUM_III,62,13,10504,164,145,PLATINUM_II,15,13,10628,25,36,PLATINUM_II,0,12,9704,8,22,PLATINUM_IV,0,11,7591,216,182,PLATINUM_II,25,15,13933,708,728,PLATINUM_I,69,15,14168,220,188,PLATINUM_II,43,15,13047,67,71,PLATINUM_II,82,15,13119,338,282,PLATINUM_II,55,12,9437
1,198,190,PLATINUM_II,21,16,14979,214,207,PLATINUM_III,0,16,16192,337,326,DIAMOND_IV,1,17,17147,81,74,PLATINUM_III,0,14,11655,139,148,PLATINUM_III,33,13,11098,283,239,PLATINUM_III,63,16,14784,113,112,PLATINUM_II,32,14,11946,96,90,PLATINUM_III,59,15,13492,183,195,PLATINUM_II,90,13,10720,507,508,PLATINUM_II,17,11,7397
1,198,190,PLATINUM_II,21,17,17614,137,132,PLATINUM_III,20,17,16882,137,115,PLATINUM_I,26,15,14295,427,398,PLATINUM_I,3,12,9612,235,230,PLATINUM_II,62,16,15195,347,308,PLATINUM_II,14,14,12553,19,7,PLATINUM_IV,1,13,11244,236,203,PLATINUM_I,14,15,13194,76,70,PLATINUM_IV,75,14,11583,535,516,PLATINUM_III,33,11,8391
1,198,190,PLATINUM_II,21,17,16994,557,541,PLATINUM_III,20,15,14167,108,88,PLATINUM_II,85,15,13997,150,157,PLATINUM_III,12,15,13800,199,188,PLATINUM_I,4,12,9018,54,58,PLATINUM_II,1,15,13462,103,94,PLATINUM_III,77,14,11860,155,121,PLATINUM_II,13,14,12971,147,137,PLATINUM_II,14,12,9192,147,128,PLATINUM_III,23,12,9602
