result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,29,31,GOLD_II,61,15,13441,18,14,GOLD_II,52,14,12229,5,5,GOLD_IV,18,15,13110,18,9,GOLD_II,34,13,10389,20,17,GOLD_II,18,13,10645,22,26,GOLD_II,52,15,14144,7,9,GOLD_III,1,14,12033,25,15,GOLD_III,27,13,10223,19,10,GOLD_II,1,12,8627,61,67,GOLD_IV,4,11,7778
0,141,152,SILVER_II,29,13,10348,17,29,GOLD_III,80,13,11119,5,5,GOLD_IV,18,14,13005,18,14,GOLD_II,52,13,11164,18,14,GOLD_II,52,12,9323,18,17,GOLD_IV,57,17,17409,82,118,SILVER_III,53,15,14086,51,49,GOLD_IV,70,15,14320,16,18,GOLD_IV,49,15,13523,21,26,GOLD_III,51,14,12309
1,60,40,DIAMOND_IV,75,14,12871,151,160,GOLD_II,58,14,11581,5,5,GOLD_IV,18,14,11689,18,14,GOLD_II,52,11,7345,74,78,GOLD_IV,30,12,9059,18,14,GOLD_II,52,11,8286,101,116,GOLD_IV,0,13,10118,5,7,BRONZE_II,67,12,9785,34,28,GOLD_I,80,12,9482,34,28,GOLD_I,80,11,7481
1,74,78,GOLD_IV,30,12,9579,53,48,BRONZE_III,8,10,6758,53,48,BRONZE_III,8,12,8709,154,148,GOLD_IV,0,11,7680,79,87,BRONZE_IV,1,9,6069,79,87,BRONZE_IV,1,12,8734,5,8,BRONZE_I,0,11,7703,5,8,BRONZE_I,0,12,9035,5,8,BRONZE_I,0,13,10876,32,25,GOLD_IV,31,12,9849
0,32,25,GOLD_IV,31,13,10059,32,35,SILVER_IV,39,11,7601,165,156,GOLD_III,14,13,10828,7,9,SILVER_II,28,13,11061,6,9,GOLD_II,6,12,9626,13,10,SILVER_IV,1,11,7690,144,133,GOLD_III,75,12,9069,103,98,SILVER_II,75,13,10511,103,98,SILVER_II,75,11,7990,32,25,GOLD_IV,31,11,7605
0,148,137,GOLD_IV,24,15,13561,124,126,SILVER_I,0,14,11512,20,17,SILVER_I,79,15,14075,13,22,SILVER_III,30,14,11817,12,18,SILVER_II,60,12,9847,46,47,GOLD_III,34,15,13081,37,37,PLATINUM_IV,18,13,10404,130,127,PLATINUM_IV,43,12,8870,130,127,PLATINUM_IV,43,13,10559,32,25,GOLD_IV,31,10,6571
0,167,164,GOLD_IV,40,17,17331,163,175,GOLD_IV,75,16,16230,175,196,GOLD_IV,61,18,19936,96,86,PLATINUM_IV,14,17,17778,167,181,GOLD_III,45,15,14238,100,95,GOLD_II,18,18,20605,71,71,GOLD_II,21,16,15066,64,51,GOLD_I,11,17,17458,118,112,GOLD_II,48,16,14999,32,25,GOLD_IV,31,16,15362
0,277,274,GOLD_III,75,15,14045,18,22,SILVER_II,75,12,9741,226,227,GOLD_II,45,15,13288,82,88,GOLD_II,0,13,11214,217,220,GOLD_I,93,12,9703,166,162,PLATINUM_IV,0,16,14901,21,22,SILVER_I,40,12,9748,414,403,PLATINUM_IV,36,13,11064,278,273,PLATINUM_IV,26,10,7095,32,25,GOLD_IV,31,12,9035
1,41,34,GOLD_III,78,16,15432,193,195,GOLD_III,39,15,13926,361,383,GOLD_IV,90,16,15771,75,79,GOLD_III,90,15,13073,51,59,SILVER_I,85,13,10483,17,15,SILVER_I,37,17,16738,62,57,GOLD_III,46,18,18406,150,150,GOLD_III,75,16,15399,21,16,GOLD_IV,1,14,12842,32,25,GOLD_IV,31,15,14082
0,60,62,GOLD_I,7,17,17889,297,257,DIAMOND_IV,1,15,14335,37,42,SILVER_I,100,16,15723,187,166,PLATINUM_III,13,14,12337,204,192,GOLD_II,12,13,10657,52,51,GOLD_II,61,15,14365,119,103,GOLD_II,11,13,11312,56,70,GOLD_III,15,13,11234,30,32,GOLD_III,0,11,7328,32,25,GOLD_IV,31,13,11013
